ID,GLON,GLAT,r,Bubble,Classic/bubble rim,Classic/inside bubble,Filament/ISM morphology,Classic/on filament,Pillar/Point Source,Point source Plus,Faint fuzzy,Classic/faint fuzzy,Classic YB,Unsure,Notes
1424,34.60177292,-0.412436185,0.003730909,,,,,,,,,,X,,
1425,34.62402233,-0.130272339,0.005720808,X,,,,,,,,,,,
1426,34.6278837,-0.025555191,0.003408954,,,,,,,,,,X,,
1427,34.63278158,-0.023918423,0.00459507,,,,,,,X,,,,,
1428,34.67758798,-0.109720809,0.002391788,,,,,,,,,,X,,
1429,34.68082932,-0.501849613,0.002827823,,,,,,,,,,X,,
1430,34.68497981,0.067445904,0.005259398,,,,,,,X,,,,,
1431,34.69607929,-0.652951909,0.004202799,,,,,,,,,,X,,
1432,34.69760777,-0.658028916,0.010631679,X,X,,,,,,,,,,On rim of large bubble
1433,34.75680025,0.024876815,0.004726224,,X,,,,,,,,,,"On rim of small bubble (previous source), crescent shaped"
1434,34.80175322,-0.255915937,0.004455485,,,,,,,,,,X,,
1435,34.80512896,-0.921506252,0.005085676,,,,,,,X,,,,,
1436,34.82255337,0.325879652,0.002649003,,,,,,,,,X,,,
1437,34.86434777,0.034791998,0.004971972,,,,,,,,,,X,,
1438,34.86542782,0.251668082,0.001883485,,,,,,,,,,X,,
1439,34.90224458,0.068298541,0.002562012,,,,,,,,,X,,,
1440,34.91038505,0.235092105,0.002423701,,,,,,,,X,,,,
1441,34.93144784,0.014522385,0.002792195,,,,,,,,,X,,,
1442,35.02044901,0.345020997,0.002869879,,,,,,,,,X,,,
1443,35.03929637,-0.547664585,0.002147712,,,,,,,,,,X,,right next to another source
1444,35.04411623,0.327188321,0.003427687,,,,,,,,,,X,,right next to another source
1445,35.04558723,-0.448991138,0.004316285,,X,X,,,,,,,,,"Inside one bubble, on rim of another"
1446,35.05282279,-0.517938923,0.002403687,,,,,,,,,,X,,
1447,35.09950087,-0.243245131,0.00440783,X,X,,,,,,,,,,Looks like bubble on rim of another large object
1448,35.1095569,0.075319495,0.005053045,,,,,,,X,,,,,
1449,35.11154238,0.071544613,0.004498161,,,,,,,,,,X,,
1450,35.13826818,-0.76155382,0.005107395,X,,,,,,,,,,,
1451,35.13842743,0.802060196,0.00603321,,X,,,,,X,,,,,
1452,35.15099463,0.822993155,0.005104495,X,,,,,,,,,,,
1453,35.17280414,-0.949074192,0.00727062,X,,,,,,,,,,,
1454,35.24207193,-0.171626744,0.002627572,,,,,,,,X,,,,
1455,35.26135916,-0.052346802,0.0019558,,,,,,,,,,X,,
1456,35.26640684,0.117866074,0.002757554,,,,,,,,X,,,,
1457,35.34770171,0.347122829,0.00322221,,X,,,,,,,,,,
1458,35.3579868,-0.75056896,0.002209571,,X,,,,,,,,,,
1459,35.38672955,0.134357411,0.004006868,,,,,,,,,X,,,
1460,35.39852451,0.024834015,0.002534473,,,,,,,,,,X,,
1461,35.41153661,-0.843194604,0.003431568,,,,,,,X,,,,,
1462,35.45185565,-0.294487464,0.005106214,X,,,,,,,,,,,
1463,35.45631062,0.243386894,0.003260374,,,,,,,,,,X,,
1464,35.46665725,0.137781246,0.001819466,,,,,,,,,X,,,
1465,35.46989062,0.361566316,0.005559604,,,,,,,,,,X,,very large source
1466,35.4716443,-0.43632581,0.002144825,,,,,,,,,X,,,
1467,35.48227304,-0.043198022,0.005469844,,,,,,,,,,X,,
1468,35.48908394,-0.011039226,0.002766617,,,,,,,,X,,,,
1469,35.49489582,-0.077074989,0.002813557,,X,,,,,,,,,,
1470,35.51392671,-0.389364143,0.00276571,,,,,,,,,,X,,
1471,35.51677631,-0.031022798,0.004180021,,,,,,,,,,X,,
